student_id,name,age,gender,department,year,cgpa,communication_skill,attendance_percentage,internship_done,placement
S1227,Student_227,22,Female,Computer Science,2nd,9.26,9,66.12,No,No
S1228,Student_228,17,Other,Electrical,4th,9.78,7,83.27,No,No
S1229,Student_229,24,Male,IT,4th,4.92,4,63.17,No,No
S1230,Student_230,21,Other,Mechanical,1st,5.42,9,79.51,Yes,No
S1231,Student_231,20,Other,Electronics,1st,4.29,6,88.34,Yes,No
S1232,Student_232,18,Female,IT,4th,7.56,10,65.04,No,No
S1233,Student_233,20,Other,Computer Science,3rd,4.29,4,65.11,Yes,No
S1234,Student_234,23,Other,Electronics,3rd,8.39,7,80.13,No,No
S1235,Student_235,17,Female,IT,2nd,8.03,7,81.07,Yes,Yes
S1236,Student_236,23,Other,Computer Science,2nd,5.29,1,84.87,Yes,No
S1237,Student_237,19,Female,Civil,1st,9.52,5,67.12,No,No
S1238,Student_238,24,Other,Electrical,2nd,7.16,8,98.18,No,No
S1239,Student_239,20,Male,Mechanical,4th,7.96,9,89.43,No,No
S1240,Student_240,23,Male,Electronics,1st,8.24,7,81.37,Yes,Yes
S1241,Student_241,21,Other,Electronics,3rd,7.79,8,69.24,No,No
S1242,Student_242,19,Female,IT,1st,5.02,7,77.14,Yes,No
S1243,Student_243,22,Other,Civil,2nd,9.0,3,87.08,Yes,No
S1244,Student_244,18,Female,IT,1st,5.07,6,92.66,No,No
S1245,Student_245,18,Other,IT,3rd,8.31,2,67.72,No,No
S1246,Student_246,21,Female,IT,4th,9.77,2,61.82,Yes,No
S1247,Student_247,18,Female,Civil,2nd,7.39,9,92.66,Yes,No
S1248,Student_248,17,Male,Electrical,3rd,4.19,6,62.2,No,No
S1249,Student_249,21,Male,Mechanical,2nd,6.53,9,60.28,Yes,No
S1250,Student_250,19,Other,Mechanical,3rd,6.48,6,67.19,Yes,No
S1251,Student_251,21,Male,Civil,2nd,7.43,8,67.27,No,No
S1252,Student_252,22,Male,Electronics,1st,6.49,10,75.78,No,No
S1253,Student_253,23,Male,Computer Science,1st,4.11,4,61.35,Yes,No
S1254,Student_254,21,Male,Electronics,4th,7.2,2,94.37,Yes,No
S1255,Student_255,24,Other,Civil,4th,9.49,6,64.56,No,No
S1256,Student_256,19,Other,Electrical,4th,4.96,6,79.31,No,No
S1257,Student_257,22,Other,Computer Science,3rd,9.58,5,77.6,No,No
S1258,Student_258,22,Female,IT,4th,4.92,4,85.98,Yes,No
S1259,Student_259,18,Other,IT,4th,7.13,4,97.6,Yes,No
S1260,Student_260,20,Female,IT,3rd,7.36,7,73.95,No,No
S1261,Student_261,17,Male,IT,3rd,7.95,2,87.54,Yes,No
S1262,Student_262,23,Other,Civil,1st,8.96,2,68.45,Yes,No
S1263,Student_263,20,Male,Electronics,1st,7.0,10,87.79,No,No
S1264,Student_264,23,Male,Electrical,1st,8.85,1,77.52,Yes,No
S1265,Student_265,17,Female,Electrical,4th,6.42,5,92.33,Yes,No
S1266,Student_266,19,Female,Electrical,3rd,8.64,4,95.35,Yes,No
S1267,Student_267,17,Other,Civil,1st,8.15,1,97.7,No,No
S1268,Student_268,19,Other,Electrical,4th,8.05,6,60.72,No,No
S1269,Student_269,23,Other,Civil,3rd,5.67,8,99.96,Yes,No
S1270,Student_270,23,Female,Electrical,1st,4.65,8,72.85,Yes,No
S1271,Student_271,20,Male,Computer Science,1st,7.72,1,69.67,No,No
S1272,Student_272,19,Other,Electronics,4th,7.5,5,86.58,No,No
S1273,Student_273,22,Female,Electrical,1st,6.85,8,80.38,No,No
S1274,Student_274,21,Female,Electronics,3rd,5.87,1,80.74,No,No
S1275,Student_275,20,Male,IT,3rd,8.75,4,98.29,No,No
S1276,Student_276,20,Male,Mechanical,4th,4.23,2,77.2,Yes,No
S1277,Student_277,20,Female,Electrical,1st,5.24,5,83.94,Yes,No
S1278,Student_278,17,Male,Electrical,2nd,4.46,1,60.22,Yes,No
S1279,Student_279,19,Female,Computer Science,2nd,9.55,4,78.76,Yes,No
S1280,Student_280,20,Other,Computer Science,4th,9.32,3,60.64,No,No
S1281,Student_281,18,Female,IT,2nd,4.12,7,69.43,No,No
S1282,Student_282,24,Other,Electrical,2nd,6.14,4,93.14,Yes,No
S1283,Student_283,24,Male,Computer Science,1st,9.34,10,72.37,Yes,Yes
S1284,Student_284,21,Other,Computer Science,4th,8.98,7,76.04,Yes,Yes
S1285,Student_285,22,Other,Electrical,1st,9.93,6,82.29,No,No
S1286,Student_286,21,Male,Computer Science,2nd,5.0,7,63.59,Yes,No
S1287,Student_287,17,Male,Electronics,3rd,4.5,6,70.76,No,No
S1288,Student_288,18,Female,Electrical,2nd,8.78,3,89.73,No,No
S1289,Student_289,18,Male,Electrical,1st,8.2,9,66.66,Yes,Yes
S1290,Student_290,19,Female,Electronics,3rd,8.86,6,92.55,No,No
S1291,Student_291,24,Male,Mechanical,1st,4.35,3,99.02,No,No
S1292,Student_292,22,Male,IT,4th,6.82,7,74.44,No,No
S1293,Student_293,17,Male,IT,4th,4.57,1,79.73,Yes,No
S1294,Student_294,19,Other,IT,4th,8.29,10,84.29,No,No
S1295,Student_295,20,Female,Electronics,4th,6.05,9,78.91,Yes,No
S1296,Student_296,19,Other,Computer Science,4th,9.12,2,85.56,Yes,No
S1297,Student_297,23,Male,Electrical,3rd,4.56,5,91.73,Yes,No
S1298,Student_298,24,Other,Civil,1st,4.09,5,97.73,No,No
S1299,Student_299,20,Male,Electrical,2nd,7.41,5,85.85,Yes,No
S1300,Student_300,18,Female,Computer Science,2nd,9.86,2,82.19,No,No
S1301,Student_301,19,Other,Electronics,2nd,9.32,10,71.53,Yes,Yes
S1302,Student_302,18,Other,IT,3rd,5.4,1,98.72,No,No
S1303,Student_303,17,Female,Civil,2nd,9.39,4,76.57,No,No
S1304,Student_304,22,Female,IT,3rd,6.44,6,91.08,No,No
S1305,Student_305,17,Other,Electronics,4th,7.89,2,79.68,No,No
S1306,Student_306,21,Other,IT,1st,9.47,6,98.91,Yes,No
S1307,Student_307,22,Other,Electrical,2nd,8.44,7,68.4,No,No
S1308,Student_308,22,Female,Computer Science,4th,5.76,9,95.37,No,No
S1309,Student_309,19,Female,Computer Science,1st,6.73,8,94.94,No,No
S1310,Student_310,18,Female,Mechanical,2nd,8.71,5,67.43,Yes,No
S1311,Student_311,21,Female,Electronics,2nd,9.65,6,82.88,Yes,No
S1312,Student_312,19,Female,Mechanical,1st,6.93,10,76.98,No,No
S1313,Student_313,22,Other,IT,3rd,8.18,2,86.86,Yes,No
S1314,Student_314,24,Male,IT,3rd,4.44,10,92.27,Yes,No
S1315,Student_315,17,Other,IT,1st,5.26,8,79.34,No,No
S1316,Student_316,20,Other,IT,2nd,7.56,8,90.65,No,No
S1317,Student_317,17,Male,Electrical,2nd,4.67,8,92.54,No,No
S1318,Student_318,24,Male,IT,2nd,9.79,3,74.02,Yes,No
S1319,Student_319,18,Male,Civil,1st,4.97,10,78.99,No,No
S1320,Student_320,21,Male,Mechanical,3rd,8.66,8,95.17,Yes,Yes
S1321,Student_321,21,Male,IT,3rd,6.18,5,70.19,Yes,No
S1322,Student_322,20,Male,Computer Science,2nd,4.6,10,92.1,No,No
S1323,Student_323,19,Female,Mechanical,4th,8.48,8,62.4,No,No
S1324,Student_324,18,Female,Electrical,2nd,6.3,10,70.26,No,No
S1325,Student_325,21,Other,Electronics,3rd,7.77,9,82.02,No,No
S1326,Student_326,19,Other,IT,4th,5.25,5,74.97,No,No
S1327,Student_327,21,Male,IT,3rd,8.27,5,61.63,Yes,No
S1328,Student_328,17,Male,Civil,3rd,4.14,10,76.31,No,No
S1329,Student_329,17,Female,Civil,4th,5.38,10,85.94,Yes,No
S1330,Student_330,23,Male,Computer Science,2nd,6.76,3,79.43,Yes,No
S1331,Student_331,19,Other,Computer Science,4th,9.74,10,93.53,Yes,Yes
S1332,Student_332,23,Female,Electronics,1st,4.4,3,89.91,Yes,No
S1333,Student_333,22,Female,Electrical,2nd,9.25,9,90.48,No,No
S1334,Student_334,19,Male,Mechanical,1st,4.97,6,63.35,Yes,No
S1335,Student_335,19,Male,Civil,1st,4.24,9,72.27,No,No
S1336,Student_336,18,Other,IT,2nd,7.19,10,77.39,Yes,No
S1337,Student_337,23,Other,IT,3rd,6.36,4,98.31,No,No
S1338,Student_338,22,Other,IT,4th,6.16,9,77.48,Yes,No
S1339,Student_339,20,Male,Civil,1st,5.79,10,88.25,Yes,No
S1340,Student_340,21,Female,Mechanical,3rd,8.22,3,74.36,No,No
S1341,Student_341,19,Male,Civil,3rd,8.59,1,65.16,No,No
S1342,Student_342,19,Male,Electrical,1st,6.94,1,85.96,Yes,No
S1343,Student_343,22,Female,IT,2nd,6.69,10,79.11,No,No
S1344,Student_344,22,Other,Electrical,3rd,6.67,4,93.32,Yes,No
S1345,Student_345,19,Female,Mechanical,3rd,5.3,8,92.72,Yes,No
S1346,Student_346,24,Female,Civil,4th,4.81,4,81.28,Yes,No
S1347,Student_347,21,Other,Electronics,3rd,4.33,4,69.46,No,No
S1348,Student_348,17,Male,IT,3rd,7.16,9,87.1,No,No
S1349,Student_349,17,Male,IT,4th,4.48,8,91.65,No,No
S1350,Student_350,20,Female,Civil,4th,8.45,10,80.2,No,No
S1351,Student_351,21,Other,Mechanical,3rd,5.17,2,86.2,No,No
S1352,Student_352,18,Other,IT,3rd,8.45,2,69.8,Yes,No
S1353,Student_353,22,Female,Mechanical,4th,4.47,4,90.54,Yes,No
S1354,Student_354,18,Other,Electrical,3rd,9.43,10,62.23,No,No
S1355,Student_355,23,Male,IT,1st,7.85,1,63.97,Yes,No
S1356,Student_356,19,Female,Mechanical,4th,5.11,5,64.96,Yes,No
S1357,Student_357,24,Male,Electrical,2nd,6.01,1,73.42,Yes,No
S1358,Student_358,24,Female,Electrical,3rd,7.18,8,65.01,No,No
S1359,Student_359,18,Female,IT,1st,5.41,1,63.41,No,No
S1360,Student_360,19,Other,Electronics,4th,7.94,8,95.02,Yes,Yes
S1361,Student_361,21,Male,IT,1st,5.65,2,98.47,Yes,No
S1362,Student_362,24,Female,Electrical,1st,7.19,4,63.89,No,No
S1363,Student_363,18,Male,Civil,4th,9.47,4,76.68,No,No
S1364,Student_364,17,Other,Mechanical,3rd,6.88,10,60.72,Yes,No
S1365,Student_365,23,Female,Electrical,2nd,4.38,1,81.2,No,No
S1366,Student_366,24,Male,Civil,3rd,4.66,6,89.45,No,No
S1367,Student_367,24,Male,IT,2nd,9.17,6,91.48,Yes,No
S1368,Student_368,18,Female,Mechanical,2nd,6.44,2,99.61,Yes,No
S1369,Student_369,18,Female,Electrical,1st,6.23,5,89.84,Yes,No
S1370,Student_370,23,Female,Computer Science,1st,5.35,2,76.08,No,No
S1371,Student_371,18,Other,IT,3rd,9.64,5,96.09,Yes,No
